id_Lider;FechaDatos;id_Estado;id_rol;id_Red;id_Tipored;id_Sulider;id_liderSu;id_LiderPral
1;28/02/2025;5;12;1;1;1;1;1
2;28/02/2025;5;13;2;2;2;2;2
3;28/02/2025;1;11;2;2;2;2;2
4;28/02/2025;1;11;2;2;2;2;2
5;28/02/2025;1;11;2;2;2;2;2
6;28/02/2025;1;11;2;2;2;2;2
7;28/02/2025;1;11;2;2;2;2;2
8;28/02/2025;1;6;2;2;2;2;2
9;28/02/2025;1;6;2;2;2;2;2
10;28/02/2025;1;6;2;2;2;2;2
11;28/02/2025;1;6;2;2;2;2;2
12;28/02/2025;1;6;2;2;2;2;2
13;28/02/2025;1;6;2;2;2;2;2
14;28/02/2025;1;6;2;2;2;2;2
15;28/02/2025;1;6;2;2;2;2;2
16;28/02/2025;1;6;2;2;2;2;2
17;28/02/2025;1;6;2;2;2;2;2
18;28/02/2025;1;6;2;2;2;2;2
19;28/02/2025;1;6;2;2;2;2;2
20;28/02/2025;1;6;2;2;2;2;2
21;28/02/2025;1;6;3;2;4;2;2
22;31/07/2025;1;6;3;2;4;2;2
22;28/02/2025;1;6;3;2;21;4;2
23;31/07/2025;1;3;3;2;22;4;2
23;28/02/2025;1;3;3;2;22;21;2
24;31/07/2025;1;3;3;2;22;4;2
24;28/02/2025;1;3;3;2;22;21;2
25;31/07/2025;1;3;3;2;22;4;2
25;28/02/2025;1;3;3;2;22;21;2
26;31/07/2025;1;3;3;2;22;4;2
26;28/02/2025;1;3;3;2;22;21;2
27;31/07/2025;1;3;3;2;22;4;2
27;28/02/2025;1;3;3;2;22;21;2
28;31/07/2025;1;6;3;2;4;2;2
28;28/02/2025;1;6;3;2;21;4;2
29;31/07/2025;1;3;3;2;28;4;2
29;28/02/2025;1;3;3;2;28;21;2
30;31/07/2025;1;3;3;2;28;4;2
30;28/02/2025;1;3;3;2;28;21;2
31;31/07/2025;1;3;3;2;21;4;2
31;28/02/2025;1;3;3;2;4;2;2
32;31/07/2025;1;3;3;2;21;4;2
32;28/02/2025;1;3;3;2;4;2;2
33;31/07/2025;1;3;3;2;21;4;2
33;28/02/2025;1;3;3;2;4;2;2
34;31/07/2025;1;3;3;2;21;4;2
34;28/02/2025;1;3;3;2;4;2;2
35;31/07/2025;1;3;3;2;21;4;2
35;28/02/2025;1;3;3;2;4;2;2
36;31/07/2025;1;3;3;2;21;4;2
36;28/02/2025;1;3;3;2;4;2;2
37;31/07/2025;1;3;3;2;21;4;2
37;28/02/2025;1;3;3;2;4;2;2
38;31/07/2025;1;3;3;2;21;4;2
38;28/02/2025;1;3;3;2;4;2;2
39;28/02/2025;1;6;3;2;4;2;2
40;28/02/2025;1;3;3;2;39;4;2
41;31/07/2025;1;6;3;2;4;2;2
41;28/02/2025;1;3;3;2;4;2;2
42;28/02/2025;1;3;3;2;41;4;2
43;28/02/2025;1;3;3;2;41;4;2
44;28/02/2025;1;3;3;2;41;4;2
45;28/02/2025;1;3;3;2;41;4;2
46;28/02/2025;1;3;3;2;41;4;2
47;28/02/2025;1;3;3;2;41;4;2
48;28/02/2025;1;3;3;2;41;4;2
49;31/07/2025;1;6;2;2;2;2;2
49;28/02/2025;1;3;3;2;4;2;2
50;31/07/2025;1;6;34;2;49;2;2
50;28/02/2025;1;6;3;2;49;4;2
51;31/07/2025;1;3;34;2;50;49;2
51;28/02/2025;1;3;3;2;50;49;2
52;31/07/2025;1;3;34;2;50;49;2
52;28/02/2025;1;3;3;2;50;49;2
53;31/07/2025;1;3;34;2;49;2;2
53;28/02/2025;1;3;3;2;49;4;2
54;31/07/2025;1;3;34;2;49;2;2
54;28/02/2025;1;3;3;2;49;4;2
55;31/07/2025;1;3;34;2;49;2;2
55;28/02/2025;1;3;3;2;49;4;2
56;31/07/2025;1;3;34;2;49;2;2
56;28/02/2025;1;3;3;2;49;4;2
57;31/07/2025;1;3;34;2;49;2;2
57;28/02/2025;1;3;3;2;49;4;2
58;31/07/2025;1;3;34;2;49;2;2
58;28/02/2025;1;3;3;2;49;4;2
59;31/07/2025;1;3;34;2;49;2;2
59;28/02/2025;1;3;3;2;49;4;2
60;31/07/2025;1;6;34;2;49;2;2
60;28/02/2025;1;3;3;2;49;4;2
61;31/07/2025;1;3;34;2;49;2;2
61;28/02/2025;1;3;3;2;49;4;2
62;31/07/2025;1;3;34;2;49;2;2
62;28/02/2025;1;3;3;2;49;4;2
63;31/07/2025;1;3;34;2;49;2;2
63;28/02/2025;1;3;3;2;49;4;2
64;31/07/2025;1;6;3;2;4;2;2
64;28/02/2025;1;3;3;2;4;2;2
65;28/02/2025;1;3;3;2;64;4;2
66;28/02/2025;1;3;3;2;64;4;2
67;28/02/2025;1;3;3;2;64;4;2
68;28/02/2025;1;3;3;2;64;4;2
69;28/02/2025;1;3;3;2;64;4;2
70;28/02/2025;1;3;3;2;64;4;2
71;31/07/2025;1;6;3;2;4;2;2
71;28/02/2025;1;3;3;2;4;2;2
72;28/02/2025;1;3;3;2;71;4;2
73;28/02/2025;1;3;3;2;71;4;2
74;28/02/2025;1;3;3;2;71;4;2
75;31/07/2025;1;6;3;2;4;2;2
75;28/02/2025;1;3;3;2;4;2;2
76;28/02/2025;1;3;3;2;75;4;2
77;28/02/2025;1;3;3;2;75;4;2
78;28/02/2025;1;3;3;2;75;4;2
79;31/07/2025;1;6;3;2;4;2;2
79;28/02/2025;1;3;3;2;4;2;2
80;28/02/2025;1;3;3;2;79;4;2
81;31/07/2025;1;6;3;2;4;2;2
81;28/02/2025;1;3;3;2;4;2;2
82;28/02/2025;1;3;3;2;81;4;2
83;31/07/2025;1;6;3;2;4;2;2
83;28/02/2025;1;3;3;2;4;2;2
84;28/02/2025;1;3;3;2;83;4;2
85;31/07/2025;1;6;3;2;4;2;2
85;28/02/2025;1;3;3;2;4;2;2
86;28/02/2025;1;3;3;2;85;4;2
87;28/02/2025;1;3;3;2;4;2;2
88;28/02/2025;1;3;3;2;4;2;2
89;28/02/2025;1;4;3;2;4;2;2
90;28/02/2025;1;6;4;2;5;2;2
91;28/02/2025;1;3;4;2;90;5;2
92;28/02/2025;1;3;4;2;90;5;2
93;28/02/2025;1;3;4;2;90;5;2
94;28/02/2025;1;3;4;2;90;5;2
95;28/02/2025;1;3;4;2;90;5;2
96;28/02/2025;1;3;4;2;90;5;2
97;28/02/2025;1;3;4;2;90;5;2
98;28/02/2025;1;3;4;2;90;5;2
99;28/02/2025;1;3;4;2;90;5;2
100;28/02/2025;1;3;4;2;90;5;2
101;28/02/2025;1;6;4;2;5;2;2
102;28/02/2025;1;3;4;2;101;5;2
103;28/02/2025;1;3;4;2;101;5;2
104;28/02/2025;1;3;4;2;101;5;2
105;28/02/2025;1;3;4;2;101;5;2
106;28/02/2025;1;3;4;2;101;5;2
107;28/02/2025;1;3;4;2;101;5;2
108;28/02/2025;1;3;4;2;101;5;2
109;28/02/2025;1;6;4;2;5;2;2
110;28/02/2025;1;3;4;2;109;5;2
111;28/02/2025;1;3;4;2;109;5;2
112;28/02/2025;1;6;4;2;5;2;2
113;28/02/2025;1;3;4;2;112;5;2
114;28/02/2025;1;3;4;2;112;5;2
115;31/07/2025;1;6;4;2;5;2;2
115;28/02/2025;1;8;4;2;5;2;2
116;28/02/2025;1;3;4;2;115;5;2
117;28/02/2025;1;6;4;2;5;2;2
118;28/02/2025;1;3;4;2;117;5;2
119;28/02/2025;1;3;4;2;117;5;2
120;28/02/2025;1;6;4;2;5;2;2
121;28/02/2025;1;3;4;2;120;5;2
122;28/02/2025;1;6;4;2;5;2;2
123;28/02/2025;1;3;4;2;122;5;2
124;28/02/2025;1;6;4;2;5;2;2
125;28/02/2025;1;3;4;2;124;5;2
126;28/02/2025;1;6;5;2;3;2;2
127;28/02/2025;1;3;5;2;126;3;2
128;28/02/2025;1;3;5;2;126;3;2
129;28/02/2025;1;3;5;2;126;3;2
130;28/02/2025;1;3;5;2;126;3;2
131;28/02/2025;1;3;5;2;126;3;2
132;31/07/2025;1;6;5;2;126;3;2
132;28/02/2025;1;3;5;2;126;3;2
133;28/02/2025;1;3;5;2;126;3;2
134;28/02/2025;1;3;5;2;126;3;2
135;28/02/2025;1;3;5;2;126;3;2
136;28/02/2025;1;3;5;2;126;3;2
137;28/02/2025;1;3;5;2;126;3;2
138;28/02/2025;1;6;5;2;3;2;2
139;28/02/2025;1;6;5;2;138;3;2
140;28/02/2025;1;3;5;2;139;138;2
141;28/02/2025;1;6;5;2;138;3;2
142;28/02/2025;1;3;5;2;141;138;2
143;28/02/2025;1;3;5;2;141;138;2
144;31/07/2025;1;6;5;2;138;3;2
144;28/02/2025;1;8;5;2;138;3;2
145;28/02/2025;1;3;5;2;144;138;2
146;28/02/2025;1;3;5;2;138;3;2
147;28/02/2025;1;3;5;2;138;3;2
148;28/02/2025;1;3;5;2;138;3;2
149;28/02/2025;1;3;5;2;138;3;2
150;31/07/2025;1;6;2;2;2;2;2
150;28/02/2025;1;6;5;2;3;2;2
151;31/07/2025;1;6;35;2;150;2;2
151;28/02/2025;1;6;5;2;150;3;2
152;31/07/2025;1;3;35;2;151;150;2
152;28/02/2025;1;3;5;2;151;150;2
153;31/07/2025;1;6;35;2;150;2;2
153;28/02/2025;1;6;5;2;150;3;2
154;31/07/2025;1;3;35;2;153;150;2
154;28/02/2025;1;3;5;2;153;150;2
155;31/07/2025;1;3;35;2;150;2;2
155;28/02/2025;1;3;5;2;150;3;2
156;31/07/2025;1;3;35;2;150;2;2
156;28/02/2025;1;3;5;2;150;3;2
157;31/07/2025;1;3;35;2;150;2;2
157;28/02/2025;1;3;5;2;150;3;2
158;31/07/2025;1;3;35;2;150;2;2
158;28/02/2025;1;3;5;2;150;3;2
159;31/07/2025;1;3;35;2;150;2;2
159;28/02/2025;1;3;5;2;150;3;2
160;28/02/2025;1;6;5;2;3;2;2
161;28/02/2025;1;6;5;2;160;3;2
162;28/02/2025;1;3;5;2;161;160;2
163;31/07/2025;1;6;5;2;160;3;2
163;28/02/2025;1;3;5;2;160;3;2
164;28/02/2025;1;3;5;2;160;3;2
165;28/02/2025;1;3;5;2;160;3;2
166;28/02/2025;1;3;5;2;160;3;2
167;28/02/2025;1;3;5;2;160;3;2
168;28/02/2025;1;3;5;2;160;3;2
169;28/02/2025;1;6;5;2;3;2;2
170;28/02/2025;1;3;5;2;169;3;2
171;28/02/2025;1;3;5;2;169;3;2
172;28/02/2025;1;3;5;2;169;3;2
173;28/02/2025;1;3;5;2;169;3;2
174;28/02/2025;1;6;5;2;3;2;2
175;28/02/2025;1;3;5;2;174;3;2
176;28/02/2025;1;3;5;2;174;3;2
177;28/02/2025;1;3;5;2;174;3;2
178;31/07/2025;1;3;5;2;174;3;2
178;28/02/2025;1;4;5;2;174;3;2
179;28/02/2025;1;6;5;2;3;2;2
180;28/02/2025;1;3;5;2;179;3;2
181;28/02/2025;1;6;5;2;3;2;2
182;28/02/2025;1;3;5;2;181;3;2
183;28/02/2025;1;3;5;2;181;3;2
184;28/02/2025;1;3;5;2;3;2;2
185;28/02/2025;1;3;5;2;3;2;2
186;28/02/2025;1;3;5;2;3;2;2
187;28/02/2025;1;6;5;2;3;2;2
188;28/02/2025;1;3;5;2;187;3;2
189;28/02/2025;1;3;5;2;3;2;2
190;28/02/2025;1;3;5;2;3;2;2
191;28/02/2025;1;3;5;2;3;2;2
192;28/02/2025;1;4;5;2;3;2;2
193;31/07/2025;1;6;6;2;19;2;2
193;28/02/2025;1;3;6;2;19;2;2
194;28/02/2025;1;3;6;2;193;19;2
195;28/02/2025;1;3;6;2;193;19;2
196;28/02/2025;1;3;6;2;193;19;2
197;28/02/2025;1;3;6;2;193;19;2
198;28/02/2025;1;3;6;2;193;19;2
199;28/02/2025;1;3;6;2;193;19;2
200;31/07/2025;1;6;6;2;19;2;2
200;28/02/2025;1;3;6;2;19;2;2
201;28/02/2025;1;3;6;2;200;19;2
202;28/02/2025;1;3;6;2;200;19;2
203;28/02/2025;1;3;6;2;200;19;2
204;28/02/2025;1;3;6;2;200;19;2
205;28/02/2025;1;3;6;2;200;19;2
206;31/07/2025;1;6;6;2;19;2;2
206;28/02/2025;1;3;6;2;19;2;2
207;28/02/2025;1;3;6;2;206;19;2
208;28/02/2025;1;3;6;2;206;19;2
209;28/02/2025;1;3;6;2;206;19;2
210;28/02/2025;1;3;6;2;19;2;2
211;28/02/2025;1;3;6;2;19;2;2
212;28/02/2025;1;3;6;2;19;2;2
213;31/07/2025;1;3;6;2;19;2;2
213;28/02/2025;1;3;6;2;19;2;2
214;28/02/2025;1;3;6;2;19;2;2
215;28/02/2025;1;3;6;2;19;2;2
216;28/02/2025;1;3;6;2;19;2;2
217;31/07/2025;1;6;6;2;19;2;2
217;28/02/2025;1;3;6;2;19;2;2
218;31/07/2025;1;6;7;2;16;2;2
218;28/02/2025;1;3;7;2;16;2;2
219;28/02/2025;1;3;7;2;218;16;2
220;28/02/2025;1;3;7;2;218;16;2
221;28/02/2025;1;3;7;2;218;16;2
222;31/07/2025;1;6;7;2;218;16;2
222;28/02/2025;1;3;7;2;218;16;2
223;28/02/2025;1;3;7;2;222;218;2
224;28/02/2025;1;3;7;2;218;16;2
225;28/02/2025;1;3;7;2;218;16;2
226;31/07/2025;1;6;7;2;218;16;2
226;28/02/2025;1;3;7;2;218;16;2
227;28/02/2025;1;3;7;2;226;218;2
228;28/02/2025;1;3;7;2;226;218;2
229;28/02/2025;1;3;7;2;218;16;2
230;28/02/2025;1;3;7;2;218;16;2
231;31/07/2025;1;6;7;2;16;2;2
231;28/02/2025;1;3;7;2;16;2;2
232;31/07/2025;1;6;7;2;231;16;2
232;28/02/2025;1;3;7;2;231;16;2
233;28/02/2025;1;3;7;2;232;231;2
234;28/02/2025;1;3;7;2;231;16;2
235;28/02/2025;1;3;7;2;231;16;2
236;28/02/2025;1;3;7;2;231;16;2
237;28/02/2025;1;3;7;2;231;16;2
238;28/02/2025;1;3;7;2;231;16;2
239;28/02/2025;1;3;7;2;231;16;2
240;31/07/2025;1;6;7;2;16;2;2
240;28/02/2025;1;3;7;2;16;2;2
241;31/07/2025;1;6;7;2;240;16;2
241;28/02/2025;1;3;7;2;240;16;2
242;28/02/2025;1;3;7;2;241;240;2
243;28/02/2025;1;3;7;2;241;240;2
244;28/02/2025;1;3;7;2;240;16;2
245;28/02/2025;1;3;7;2;240;16;2
246;28/02/2025;1;3;7;2;240;16;2
247;28/02/2025;1;3;7;2;240;16;2
248;31/07/2025;1;6;7;2;16;2;2
248;28/02/2025;1;3;7;2;16;2;2
249;28/02/2025;1;3;7;2;248;16;2
250;28/02/2025;1;3;7;2;248;16;2
251;31/07/2025;1;6;7;2;16;2;2
251;28/02/2025;1;3;7;2;16;2;2
252;28/02/2025;1;3;7;2;251;16;2
253;28/02/2025;1;3;7;2;251;16;2
254;31/07/2025;1;6;7;2;16;2;2
254;28/02/2025;1;3;7;2;16;2;2
255;31/07/2025;2;;;;;;
255;28/02/2025;1;3;7;2;254;16;2
256;28/02/2025;1;3;7;2;254;16;2
257;31/07/2025;1;6;7;2;16;2;2
257;28/02/2025;1;3;7;2;16;2;2
258;28/02/2025;1;3;7;2;257;16;2
259;28/02/2025;1;3;7;2;257;16;2
260;31/07/2025;1;6;7;2;16;2;2
260;28/02/2025;1;3;7;2;16;2;2
261;28/02/2025;1;3;7;2;260;16;2
262;28/02/2025;1;3;7;2;260;16;2
263;28/02/2025;1;3;7;2;16;2;2
264;28/02/2025;1;4;7;2;16;2;2
265;31/07/2025;1;6;8;2;9;2;2
265;28/02/2025;1;3;8;2;9;2;2
266;28/02/2025;1;3;8;2;265;9;2
267;28/02/2025;1;3;8;2;265;9;2
268;31/07/2025;1;6;8;2;9;2;2
268;28/02/2025;1;3;8;2;9;2;2
269;28/02/2025;1;3;8;2;268;9;2
270;28/02/2025;1;3;8;2;268;9;2
271;31/07/2025;1;6;8;2;9;2;2
271;28/02/2025;1;3;8;2;9;2;2
272;28/02/2025;1;3;8;2;271;9;2
273;28/02/2025;1;3;8;2;9;2;2
274;28/02/2025;1;3;8;2;9;2;2
275;28/02/2025;1;3;8;2;9;2;2
276;31/07/2025;1;6;8;2;9;2;2
276;28/02/2025;1;3;8;2;9;2;2
277;28/02/2025;1;3;8;2;9;2;2
278;28/02/2025;1;3;8;2;9;2;2
279;28/02/2025;1;3;8;2;9;2;2
280;28/02/2025;1;3;8;2;9;2;2
281;31/07/2025;1;6;9;2;17;2;2
281;28/02/2025;1;3;9;2;17;2;2
282;28/02/2025;1;3;9;2;281;17;2
283;28/02/2025;1;3;9;2;281;17;2
284;28/02/2025;1;3;9;2;17;2;2
285;31/07/2025;1;6;9;2;17;2;2
285;28/02/2025;1;3;9;2;17;2;2
286;28/02/2025;1;3;9;2;285;17;2
287;28/02/2025;1;3;9;2;17;2;2
288;31/07/2025;1;6;9;2;17;2;2
288;28/02/2025;1;3;9;2;17;2;2
289;28/02/2025;1;3;9;2;288;17;2
290;28/02/2025;1;3;9;2;17;2;2
291;28/02/2025;1;3;9;2;17;2;2
292;28/02/2025;1;3;9;2;17;2;2
293;28/02/2025;1;3;9;2;17;2;2
294;28/02/2025;1;3;9;2;17;2;2
295;28/02/2025;1;3;9;2;17;2;2
296;28/02/2025;1;3;9;2;17;2;2
297;31/07/2025;1;6;36;8;17;2;2
297;28/02/2025;1;3;9;2;17;2;2
298;31/07/2025;1;3;36;8;297;17;2
298;28/02/2025;1;3;9;2;297;17;2
299;31/07/2025;1;3;36;8;297;17;2
299;28/02/2025;1;3;9;2;297;17;2
300;31/07/2025;1;3;36;8;297;17;2
300;28/02/2025;1;3;9;2;297;17;2
301;28/02/2025;1;4;9;2;17;2;2
302;28/02/2025;1;4;9;2;17;2;2
303;28/02/2025;1;4;9;2;17;2;2
304;31/07/2025;1;6;10;2;13;2;2
304;28/02/2025;1;3;10;2;13;2;2
305;28/02/2025;1;3;10;2;304;13;2
306;28/02/2025;1;3;10;2;13;2;2
